dataset,model,MRR,P@1,P@3,P@5,P@10
Base TMDB,all-mpnet-base-v2,0.4453117664069676,35.0,45.0,55.00000000000001,70.0
Base TMDB,all-MiniLM-L6-v2,0.43874269005847955,30.0,60.0,60.0,60.0
Base TMDB,e5-small-v2,0.4411999550157445,40.0,45.0,45.0,50.0
